"sample","group","annotation","cells_in_annotation","total_cells","prop"
"1","COVID","Activated cytotoxic T cells",7,3829,0.00182815356489945
"1","COVID","Activated monocytes",280,3829,0.0731261425959781
"1","COVID","B cells",673,3829,0.175763907025333
"1","COVID","CD8 T cells",292,3829,0.0762601201358057
"1","COVID","Erythroid cells",88,3829,0.022982501958736
"1","COVID","IFN-stimulated mixed cells",102,3829,0.0266388090885349
"1","COVID","IL7R+ naive/central-memory T cells",466,3829,0.121702794463306
"1","COVID","NK-like cytotoxic lymphocytes",245,3829,0.0639853747714808
"1","COVID","Non-classical monocytes",58,3829,0.0151475581091669
"1","COVID","Platelet-rich cells",662,3829,0.172891094280491
"1","COVID","S100A8+ inflammatory monocytes",956,3829,0.249673544006268
"10","COVID","Activated cytotoxic T cells",4,663,0.00603318250377074
"10","COVID","Activated monocytes",41,663,0.0618401206636501
"10","COVID","B cells",160,663,0.24132730015083
"10","COVID","CD8 T cells",60,663,0.0904977375565611
"10","COVID","Erythroid cells",1,663,0.00150829562594268
"10","COVID","IFN-stimulated mixed cells",20,663,0.0301659125188537
"10","COVID","IL7R+ naive/central-memory T cells",52,663,0.0784313725490196
"10","COVID","NK-like cytotoxic lymphocytes",18,663,0.0271493212669683
"10","COVID","Non-classical monocytes",2,663,0.00301659125188537
"10","COVID","Platelet-rich cells",19,663,0.028657616892911
"10","COVID","S100A8+ inflammatory monocytes",286,663,0.431372549019608
"11","COVID","Activated cytotoxic T cells",12,3602,0.00333148250971682
"11","COVID","Activated monocytes",508,3602,0.141032759578012
"11","COVID","B cells",469,3602,0.130205441421433
"11","COVID","CD8 T cells",572,3602,0.158800666296502
"11","COVID","Erythroid cells",1,3602,0.000277623542476402
"11","COVID","IFN-stimulated mixed cells",104,3602,0.0288728484175458
"11","COVID","IL7R+ naive/central-memory T cells",725,3602,0.201277068295391
"11","COVID","NK-like cytotoxic lymphocytes",554,3602,0.153803442531927
"11","COVID","Non-classical monocytes",213,3602,0.0591338145474736
"11","COVID","Platelet-rich cells",137,3602,0.0380344253192671
"11","COVID","S100A8+ inflammatory monocytes",307,3602,0.0852304275402554
"12","COVID","Activated cytotoxic T cells",57,4017,0.0141896938013443
"12","COVID","Activated monocytes",569,4017,0.141647996016928
"12","COVID","B cells",562,4017,0.139905402041324
"12","COVID","CD8 T cells",903,4017,0.224794622852875
"12","COVID","IFN-stimulated mixed cells",123,4017,0.0306198655713219
"12","COVID","IL7R+ naive/central-memory T cells",423,4017,0.105302464525765
"12","COVID","NK-like cytotoxic lymphocytes",790,4017,0.196664177246702
"12","COVID","Non-classical monocytes",128,4017,0.0318645755538959
"12","COVID","Platelet-rich cells",266,4017,0.06621857107294
"12","COVID","S100A8+ inflammatory monocytes",196,4017,0.0487926313169032
"13","Normal","Activated cytotoxic T cells",4,4222,0.000947418285172904
"13","Normal","Activated monocytes",702,4222,0.166271909047845
"13","Normal","B cells",373,4222,0.0883467550923733
"13","Normal","CD8 T cells",434,4222,0.10279488394126
"13","Normal","IFN-stimulated mixed cells",144,4222,0.0341070582662245
"13","Normal","IL7R+ naive/central-memory T cells",829,4222,0.196352439602084
"13","Normal","NK-like cytotoxic lymphocytes",1047,4222,0.247986736144008
"13","Normal","Non-classical monocytes",518,4222,0.122690667929891
"13","Normal","Platelet-rich cells",36,4222,0.00852676456655613
"13","Normal","S100A8+ inflammatory monocytes",135,4222,0.0319753671245855
"14","Normal","Activated cytotoxic T cells",6,4141,0.00144892538034291
"14","Normal","Activated monocytes",511,4141,0.123400144892538
"14","Normal","B cells",385,4141,0.0929727119053369
"14","Normal","CD8 T cells",589,4141,0.142236174836996
"14","Normal","Erythroid cells",15,4141,0.00362231345085728
"14","Normal","IFN-stimulated mixed cells",719,4141,0.173629558077759
"14","Normal","IL7R+ naive/central-memory T cells",625,4141,0.150929727119053
"14","Normal","NK-like cytotoxic lymphocytes",667,4141,0.161072204781454
"14","Normal","Non-classical monocytes",324,4141,0.0782419705385173
"14","Normal","Platelet-rich cells",123,4141,0.0297029702970297
"14","Normal","S100A8+ inflammatory monocytes",177,4141,0.0427432987201159
"15","COVID","Activated cytotoxic T cells",1,1240,0.000806451612903226
"15","COVID","Activated monocytes",8,1240,0.00645161290322581
"15","COVID","B cells",85,1240,0.0685483870967742
"15","COVID","CD8 T cells",132,1240,0.106451612903226
"15","COVID","IFN-stimulated mixed cells",43,1240,0.0346774193548387
"15","COVID","IL7R+ naive/central-memory T cells",51,1240,0.0411290322580645
"15","COVID","NK-like cytotoxic lymphocytes",125,1240,0.100806451612903
"15","COVID","Non-classical monocytes",2,1240,0.00161290322580645
"15","COVID","Platelet-rich cells",578,1240,0.466129032258065
"15","COVID","S100A8+ inflammatory monocytes",215,1240,0.173387096774194
"16","COVID","Activated cytotoxic T cells",2,1408,0.00142045454545455
"16","COVID","Activated monocytes",22,1408,0.015625
"16","COVID","B cells",169,1408,0.120028409090909
"16","COVID","CD8 T cells",76,1408,0.0539772727272727
"16","COVID","Erythroid cells",129,1408,0.0916193181818182
"16","COVID","IFN-stimulated mixed cells",111,1408,0.0788352272727273
"16","COVID","IL7R+ naive/central-memory T cells",248,1408,0.176136363636364
"16","COVID","NK-like cytotoxic lymphocytes",35,1408,0.0248579545454545
"16","COVID","Platelet-rich cells",426,1408,0.302556818181818
"16","COVID","S100A8+ inflammatory monocytes",190,1408,0.134943181818182
"17","COVID","Activated cytotoxic T cells",9,1218,0.00738916256157635
"17","COVID","Activated monocytes",114,1218,0.0935960591133005
"17","COVID","B cells",240,1218,0.197044334975369
"17","COVID","CD8 T cells",121,1218,0.0993431855500821
"17","COVID","GZMB+ cytotoxic lymphocytes",5,1218,0.00410509031198686
"17","COVID","IFN-stimulated mixed cells",85,1218,0.0697865353037767
"17","COVID","IL7R+ naive/central-memory T cells",29,1218,0.0238095238095238
"17","COVID","NK-like cytotoxic lymphocytes",141,1218,0.11576354679803
"17","COVID","Non-classical monocytes",1,1218,0.000821018062397373
"17","COVID","Platelet-rich cells",78,1218,0.0640394088669951
"17","COVID","S100A8+ inflammatory monocytes",395,1218,0.324302134646962
"18","COVID","Activated cytotoxic T cells",21,2914,0.00720658888126287
"18","COVID","Activated monocytes",709,2914,0.243308167467399
"18","COVID","B cells",538,2914,0.184625943719973
"18","COVID","CD8 T cells",324,2914,0.111187371310913
"18","COVID","Erythroid cells",1,2914,0.000343170899107756
"18","COVID","GZMB+ cytotoxic lymphocytes",1,2914,0.000343170899107756
"18","COVID","IFN-stimulated mixed cells",115,2914,0.0394646533973919
"18","COVID","IL7R+ naive/central-memory T cells",152,2914,0.0521619766643789
"18","COVID","NK-like cytotoxic lymphocytes",361,2914,0.1238846945779
"18","COVID","Non-classical monocytes",363,2914,0.124571036376115
"18","COVID","Platelet-rich cells",145,2914,0.0497597803706246
"18","COVID","S100A8+ inflammatory monocytes",184,2914,0.063143445435827
"19","Normal","Activated cytotoxic T cells",3,3663,0.000819000819000819
"19","Normal","Activated monocytes",776,3663,0.211848211848212
"19","Normal","B cells",334,3663,0.0911820911820912
"19","Normal","CD8 T cells",139,3663,0.0379470379470379
"19","Normal","Erythroid cells",3,3663,0.000819000819000819
"19","Normal","GZMB+ cytotoxic lymphocytes",1,3663,0.000273000273000273
"19","Normal","IFN-stimulated mixed cells",92,3663,0.0251160251160251
"19","Normal","IL7R+ naive/central-memory T cells",412,3663,0.112476112476112
"19","Normal","NK-like cytotoxic lymphocytes",1344,3663,0.366912366912367
"19","Normal","Non-classical monocytes",227,3663,0.061971061971062
"19","Normal","Platelet-rich cells",27,3663,0.00737100737100737
"19","Normal","S100A8+ inflammatory monocytes",305,3663,0.0832650832650833
"2","COVID","Activated cytotoxic T cells",16,4514,0.00354452813469207
