"sample","group","doublet","singlet","total_cells","doublet_rate"
"13","Normal",277,4222,4499,0.0615692376083574
"14","Normal",236,4141,4377,0.0539182088188257
"19","Normal",192,3663,3855,0.0498054474708171
"5","Normal",199,4027,4226,0.047089446284903
"3","Flu",269,4439,4708,0.0571367884451997
"4","Flu",48,1235,1283,0.0374123148869836
"6","Flu",103,2390,2493,0.0413156839149619
"7","Flu",31,977,1008,0.0307539682539683
"8","Flu",18,523,541,0.033271719038817
"1","COVID",274,3829,4103,0.0667804045820132
"10","COVID",25,663,688,0.0363372093023256
"11","COVID",190,3602,3792,0.0501054852320675
"12","COVID",260,4017,4277,0.060790273556231
"15","COVID",59,1240,1299,0.0454195535026944
"16","COVID",73,1408,1481,0.0492910195813639
"17","COVID",48,1218,1266,0.037914691943128
"18","COVID",176,2914,3090,0.056957928802589
"2","COVID",328,4514,4842,0.0677406030565882
"20","COVID",269,4004,4273,0.0629534285045635
"9","COVID",11,354,365,0.0301369863013699
