"Annotation","SingleR","Freq"
"NK-like cytotoxic lymphocytes","NK cell",8259
"S100A8+ inflammatory monocytes","Monocyte",7830
"CD8 T cells","T cells",6666
"IL7R+ naive/central-memory T cells","T cells",6517
"Activated monocytes","Monocyte",6497
"B cells","B cell",6162
"Platelet-rich cells","Platelets",3008
"Non-classical monocytes","Monocyte",2464
"IFN-stimulated mixed cells","Monocyte",1634
"Activated cytotoxic T cells","T cells",1319
"CD8 T cells","NK cell",839
"Erythroid cells","Erythroblast",283
"IFN-stimulated mixed cells","Neutrophils",209
"GZMB+ cytotoxic lymphocytes","NK cell",186
"Erythroid cells","BM",173
"IFN-stimulated mixed cells","Pre-B cell CD34-",173
"NK-like cytotoxic lymphocytes","T cells",173
"IFN-stimulated mixed cells","HSC -G-CSF",116
"S100A8+ inflammatory monocytes","Neutrophils",101
"Activated cytotoxic T cells","NK cell",96
"IFN-stimulated mixed cells","B cell",84
"Platelet-rich cells","Monocyte",81
"S100A8+ inflammatory monocytes","HSC -G-CSF",67
"IFN-stimulated mixed cells","NK cell",62
"Platelet-rich cells","HSC -G-CSF",59
"IFN-stimulated mixed cells","T cells",33
"IL7R+ naive/central-memory T cells","NK cell",32
"IFN-stimulated mixed cells","Pro-B cell CD34+",30
"Platelet-rich cells","CMP",24
"Platelet-rich cells","BM",23
"IFN-stimulated mixed cells","Macrophage",23
"IFN-stimulated mixed cells","CMP",22
"IFN-stimulated mixed cells","GMP",18
"IFN-stimulated mixed cells","DC",13
"S100A8+ inflammatory monocytes","Pre-B cell CD34-",11
"Platelet-rich cells","T cells",9
"CD8 T cells","Pre-B cell CD34-",7
"Platelet-rich cells","MEP",5
"Platelet-rich cells","NK cell",5
"B cells","Pre-B cell CD34-",5
"NK-like cytotoxic lymphocytes","Pre-B cell CD34-",5
"Activated cytotoxic T cells","Pre-B cell CD34-",5
"Erythroid cells","T cells",5
"Erythroid cells","NK cell",4
"Erythroid cells","Pro-Myelocyte",4
"IL7R+ naive/central-memory T cells","Pre-B cell CD34-",3
"Erythroid cells","Pre-B cell CD34-",3
"IL7R+ naive/central-memory T cells","B cell",2
"IL7R+ naive/central-memory T cells","HSC -G-CSF",2
"Erythroid cells","HSC -G-CSF",2
"Erythroid cells","Monocyte",2
"Platelet-rich cells","Pre-B cell CD34-",2
"B cells","Pro-B cell CD34+",2
"IL7R+ naive/central-memory T cells","Pro-B cell CD34+",2
"IFN-stimulated mixed cells","Pro-Myelocyte",2
"Platelet-rich cells","B cell",1
"B cells","BM",1
"Erythroid cells","CMP",1
"Platelet-rich cells","Erythroblast",1
"B cells","GMP",1
"Platelet-rich cells","GMP",1
"NK-like cytotoxic lymphocytes","HSC -G-CSF",1
"CD8 T cells","HSC -G-CSF",1
"Platelet-rich cells","Macrophage",1
"IFN-stimulated mixed cells","Myelocyte",1
"B cells","Neutrophils",1
"IL7R+ naive/central-memory T cells","Neutrophils",1
"Platelet-rich cells","Neutrophils",1
"B cells","NK cell",1
"Erythroid cells","Platelets",1
"Platelet-rich cells","Pro-B cell CD34+",1
"GZMB+ cytotoxic lymphocytes","T cells",1
