"group","annotation","mean_prop","median_prop","sd_prop","samples"
"COVID","Activated cytotoxic T cells",0.00436340457848842,0.00333148250971682,0.00411793758630829,11
"Flu","Activated cytotoxic T cells",0.0578909506474138,0.00191204588910134,0.125941865338159,5
"Normal","Activated cytotoxic T cells",0.000927998028256052,0.000883209552086862,0.000395679167811307,4
"COVID","Activated monocytes",0.103680874926084,0.0744350908285334,0.0889920067032007,11
"Flu","Activated monocytes",0.0809766203747058,0.0573221757322176,0.0804830278450981,5
"Normal","Activated monocytes",0.140279495302376,0.144836026970191,0.0647872128212387,4
"COVID","B cells",0.140684454046602,0.139905402041324,0.0571398916649621,11
"Flu","B cells",0.0709412762601179,0.00794979079497908,0.0915021249841294,5
"Normal","B cells",0.114251538042591,0.092077401543714,0.0468740776618797,4
"COVID","CD8 T cells",0.127424307972094,0.111187371310913,0.0563257468331311,11
"Flu","CD8 T cells",0.120363458656423,0.163179916317992,0.0755066230752437,5
"Normal","CD8 T cells",0.160948149709012,0.122515529389128,0.140009252837237,4
"COVID","Erythroid cells",0.010752876478819,0.000277623542476402,0.0276682156015492,11
"Flu","Erythroid cells",0.0677807962271742,0.00102354145342886,0.142854917940931,5
"Normal","Erythroid cells",0.00117240952102797,0.000533662316627303,0.00166887241918238,4
"COVID","GZMB+ cytotoxic lymphocytes",0.000484944840433422,0,0.00123157932086291,11
"Flu","GZMB+ cytotoxic lymphocytes",0.00796834071528417,0,0.0175847865447841,5
"Normal","GZMB+ cytotoxic lymphocytes",0.0000682500682500683,0,0.000136500136500137,4
"COVID","IFN-stimulated mixed cells",0.0427454735918584,0.0346774193548387,0.020653678162361,11
"Flu","IFN-stimulated mixed cells",0.0411453044019618,0.0191484568596531,0.0363108499295834,5
"Normal","IFN-stimulated mixed cells",0.064172931907093,0.0296115416911248,0.0731139996868256,4
"COVID","IL7R+ naive/central-memory T cells",0.109608365934824,0.0804195804195804,0.0922513228649452,11
"Flu","IL7R+ naive/central-memory T cells",0.0361438061981212,0.0154811715481172,0.0397824498914218,5
"Normal","IL7R+ naive/central-memory T cells",0.140889408388833,0.131702919797583,0.0422687564843281,4
"COVID","NK-like cytotoxic lymphocytes",0.129272988331429,0.11576354679803,0.08919545658989,11
"Flu","NK-like cytotoxic lymphocytes",0.172914659702751,0.154655870445344,0.116750814569321,5
"Normal","NK-like cytotoxic lymphocytes",0.245333775556427,0.226675265265945,0.0884797599831991,4
"COVID","Non-classical monocytes",0.027132843589241,0.0101905183872397,0.0380361944815619,11
"Flu","Non-classical monocytes",0.0430136584951591,0.00753138075313808,0.0716890668243408,5
"Normal","Non-classical monocytes",0.0758451205407094,0.0701065162547896,0.0348504380268808,4
"COVID","Platelet-rich cells",0.13208564457482,0.06621857107294,0.137041894591862,11
"Flu","Platelet-rich cells",0.012679277476272,0.0174002047082907,0.00834159695470303,5
"Normal","Platelet-rich cells",0.0125176427227903,0.00794888596878175,0.0115832890979567,4
"COVID","S100A8+ inflammatory monocytes",0.171763821135307,0.134943181818182,0.135021483781924,11
"Flu","S100A8+ inflammatory monocytes",0.288181850844616,0.176518218623482,0.248973473788531,5
"Normal","S100A8+ inflammatory monocytes",0.0435932802126337,0.0373593329223507,0.028575064693062,4
