"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,6.15823925541262,0.255,0.006,0,"0","SH2D1B"
0,5.44037812975462,0.788,0.036,0,"0","KLRF1"
0,5.37270958955763,0.406,0.024,0,"0","MYOM2"
0,5.2969298939109,0.365,0.014,0,"0","KLRC2"
0,5.08127324144872,0.258,0.012,0,"0","AKR1C3"
0,4.24400919291336,1,0.395,0,"1","S100A8"
0,4.04623773522338,0.335,0.025,0,"1","HLX"
0,4.0042981293451,0.975,0.203,0,"1","S100A12"
0,3.9343769204007,0.369,0.034,0,"1","EREG"
0,3.84826956916758,0.525,0.04,0,"1","MCEMP1"
0,12.4487184680372,0.312,0,0,"10","SPTA1"
0,12.073049156088,0.345,0,0,"10","GYPA"
0,11.4852649986678,0.328,0,0,"10","IFIT1B"
0,11.4258175217021,0.446,0.001,0,"10","GYPB"
0,11.4223036791231,0.856,0.003,0,"10","CA1"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000031863092929525,3.83858001816793,0.93,0.123,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000636337828895544,"11","LAIR2"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000811424515881893,3.49801894359667,0.733,0.107,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000162049590066773,"11","LAG3"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000734598765968074,3.43951703123093,1,0.307,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000146706719551484,"11","PRF1"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000136941201374589,3.31034502324892,0.957,0.21,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000273485273265192,"11","SPON2"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000257711926667456,3.19272746549159,0.701,0.097,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000514676488747576,"11","CD38"
0,3.64162844280167,0.484,0.056,0,"2","GZMK"
0,3.38475050056733,0.647,0.106,0,"2","CD8A"
0,3.31689570080322,0.556,0.069,0,"2","CD8B"
0,3.05404554443721,0.569,0.081,0,"2","TRGC2"
0,2.9046106075909,0.254,0.035,0,"2","A2M-AS1"
0,6.81081191900755,0.488,0.005,0,"3","MAL"
0,4.61182274143389,0.422,0.02,0,"3","LEF1"
0,4.4808181325351,0.35,0.021,0,"3","TRABD2A"
0,4.08537977958868,0.35,0.02,0,"3","CD28"
0,3.87058482155518,0.336,0.024,0,"3","AQP3"
0,3.88516882012609,0.266,0.016,0,"4","PID1"
0,3.24483905710645,0.48,0.047,0,"4","ID1"
0,3.11497910121076,0.887,0.126,0,"4","LGALS2"
0,2.99585129477523,0.259,0.028,0,"4","C15orf48"
0,2.96752097970309,0.276,0.029,0,"4","THBD"
0,9.25282860776041,0.754,0.004,0,"5","IGHD"
0,8.85108727347922,0.518,0.001,0,"5","VPREB3"
0,8.47055508811354,0.302,0.001,0,"5","EBF1"
0,8.07838687746124,0.986,0.019,0,"5","CD79A"
0,8.0044351831199,0.358,0.001,0,"5","FCRLA"
0,9.39834976431019,0.617,0.014,0,"6","PTCRA"
0,9.23167629250561,0.708,0.018,0,"6","TMEM40"
0,9.17096252590292,0.646,0.017,0,"6","CLEC1B"
0,9.07393139376023,0.493,0.011,0,"6","ESAM"
0,8.97619947818358,0.3,0.005,0,"6","AC090409.1"
0,6.27482348202463,0.75,0.031,0,"7","CDKN1C"
0,5.01318917355317,0.393,0.01,0,"7","NEURL1"
0,4.40816561834439,0.324,0.01,0,"7","C1QA"
0,4.27928467738985,0.416,0.014,0,"7","CKB"
0,4.23345311622954,0.511,0.026,0,"7","ZNF703"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000191771517596025,3.25690412004533,0.264,0.091,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000382986897791022,"8","IFI27"
0.000000610380371909951,2.4283501068538,0.192,0.252,0.0121899064074136,"8","IGKC"
0.0000000000000496810476011877,2.04320350123378,0.275,0.413,0.000000000992180201643319,"8","ISG15"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000307079656603141,1.97290080537964,0.53,0.41,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000613268782202133,"8","IFITM3"
